Discount,Total_Sales,Total_Profit,Average_Profit
0.0,90000.0,28385.24,28385.24
0.01,22497.75,4911.66,2455.83
0.02,56488.7,12669.08,3167.27
0.03,79476.15,25422.7,8474.233333333334
0.04,50379.840000000004,18452.91,9226.455
0.05,6796.6,1494.07,747.035
0.06,239856.0,91113.78,91113.78
0.07,38273.19,13332.99,3333.2475
0.08,759392.0,175764.15000000002,43941.037500000006
0.09,389649.0,112223.37999999999,22444.676
0.1,12487.5,3588.8,3588.8
0.11,421136.24,114127.44,38042.48
0.12,59928.0,11444.04,5722.02
0.13,192249.75,57398.350000000006,19132.783333333336
0.14,179748.0,46999.08,23499.54
0.15,63904.0,18208.539999999997,9104.269999999999
0.17,192871.56,44918.03999999999,14972.679999999998
0.18,149730.0,48782.56,16260.853333333333
0.19,11977.2,2036.36,2036.36
0.2,92315.0,27897.36,13948.68
0.21,149685.0,58511.47,19503.823333333334
0.22,59868.0,20212.93,20212.93
0.23,194551.5,39694.130000000005,19847.065000000002
0.24,505783.2,161574.69,32314.938000000002
0.25,14962.5,4732.66,4732.66
0.26,184818.22,53864.44,13466.11
0.27,25231.690000000002,8336.49,2778.83
0.28,33007.32,10254.95,2563.7375
0.29,190146.97,30779.859999999997,7694.964999999999
0.3,44565.9,11973.98,2394.796
0.31,231081.41999999998,50283.24,10056.648
0.32,10665.76,2671.56,1335.78
0.33,107643.6,18483.27,9241.635
0.34,179388.0,64712.4,64712.4
0.35,59790.0,20208.12,20208.12
0.36,5978.4,1321.09,1321.09
0.37,63862.83,14272.05,4757.349999999999
0.38,119544.0,41837.48,41837.48
0.39,8865.29,3072.7200000000003,1024.24
0.4,158762.4,53788.969999999994,13447.242499999998
0.41,8963.1,2982.69,1491.345
0.44,72977.48000000001,19011.18,6337.06
0.45,338470.0,80159.26,20039.815
0.46,89586.0,30613.79,30613.79
0.47,19906.0,5455.58,2727.79
0.48,97529.6,24459.04,6114.76
0.51,406416.65,108239.02,21647.804
0.52,372055.2,122223.93,30555.9825
0.53,139258.0,24145.93,12072.965
0.54,11935.2,4688.0,4688.0
0.55,3182.4,549.65,549.65
0.56,166064.8,36357.58,9089.395
0.57,83521.2,18656.46,6218.82
0.58,6462.3,1969.89,656.63
0.59,68592.90000000001,15987.83,5329.276666666667
0.6,178920.0,63506.78,31753.39
0.61,24847.5,8703.21,8703.21
0.62,242984.1,55630.73,13907.6825
0.63,532623.2,181449.81,45362.4525
0.64,59616.0,14679.42,7339.71
0.65,65571.0,13493.55,6746.775
0.66,50067.36,9987.27,4993.635
0.67,64067.85,14692.58,7346.29
0.68,50057.28,7658.05,2552.6833333333334
0.69,119172.0,41008.76,41008.76
0.7,238320.0,65942.39,32971.195
0.71,79432.0,30038.33,30038.33
0.72,336062.8,89043.24999999999,17808.649999999998
0.73,300788.1,109822.82,54911.41
0.74,321602.4,53314.63,17771.54333333333
0.75,79400.0,15613.5,15613.5
0.76,12405.0,3335.11,3335.11
0.77,50111.15,9988.04,4994.02
0.78,36711.399999999994,9396.7,3132.2333333333336
0.79,195840.54,50247.93,10049.586
0.8,78566.4,24640.61,6160.1525
0.81,205819.25,63854.28,15963.57
0.82,188442.0,43735.16,21867.58
0.83,6346.88,1563.05,521.0166666666667
0.84,31235.4,10224.09,5112.045
0.85,69405.0,12587.49,6293.745
0.86,18142.62,5771.49,1923.83
0.87,74347.5,26475.019999999997,13237.509999999998
0.88,72853.2,20592.85,6864.283333333333
0.89,130329.65,33727.21,8431.8025
0.9,169956.5,39759.44,7951.888000000001
0.91,3170.88,1146.72,1146.72
0.92,42802.56,13510.689999999999,6755.344999999999
0.93,20309.35,5611.19,1870.3966666666665
0.94,278358.6,53147.100000000006,17715.7
0.97,178254.0,58246.42,29123.21
0.99,133663.5,48880.55,16293.516666666668
1.0,227700.0,67609.78,22536.593333333334
1.01,83844.53,19523.66,6507.886666666666
1.02,230821.36,80790.58,20197.645
1.03,65320.2,24957.0,12478.5
1.04,301828.0,61232.1,30616.05
1.07,7419.75,2028.21,1014.105
1.08,25224.6,5283.5,2641.75
1.09,207216.45,41653.78,13884.593333333332
1.1,5934.0,2255.66,2255.66
1.11,108779.0,18186.42,9093.21
1.12,129532.8,28769.05,7192.2625
1.13,15324.85,4102.37,1367.4566666666667
1.14,143347.0,25443.64,8481.213333333333
1.16,20855.24,6830.57,2276.8566666666666
1.17,41113.28,13720.769999999999,6860.384999999999
1.18,240330.24,60711.07000000001,20237.023333333334
1.19,83988.5,27036.16,9012.053333333333
1.21,352680.3,71544.95000000001,17886.237500000003
1.22,230354.96,75865.79000000001,25288.596666666668
1.23,129388.7,26979.8,8993.266666666666
1.24,2962.8,696.14,696.14
1.25,51350.0,14445.34,7222.67
1.26,272522.4,63207.36,31603.68
1.27,18758.7,3406.63,1135.5433333333333
1.28,161407.2,35674.66,8918.665
1.29,65148.6,12196.630000000001,6098.3150000000005
1.3,27636.0,9228.3,4614.15
1.31,24672.5,6474.89,6474.89
1.32,5920.8,1147.32,1147.32
1.33,466709.1,82686.13,13781.021666666667
1.35,236760.0,89054.24,89054.24
1.36,4438.8,1212.31,1212.31
1.37,472240.44,148106.58,18513.3225
1.38,303256.5,63732.18,31866.09
1.39,59166.0,16103.97,16103.97
1.4,695425.8,173848.88,28974.813333333335
1.41,63886.32,18400.84,4600.21
1.42,41896.5,12450.01,6225.005
1.43,215276.88,63521.18,21173.726666666666
1.44,14784.0,4917.76,4917.76
1.48,5714.16,1597.7800000000002,798.8900000000001
1.49,26006.64,7860.84,2620.28
1.5,4826.5,1705.77,852.885
1.51,24622.5,7276.67,7276.67
1.52,1477.2,430.37,430.37
1.53,14770.5,3163.26,3163.26
1.54,14276.7,4438.27,2219.135
1.55,40364.5,14291.36,7145.68
1.56,236256.0,91240.43,91240.43
1.57,24607.5,6485.12,6485.12
1.58,787.36,299.34,299.34
1.59,209022.84,56315.47,18771.823333333334
1.6,69076.8,19712.64,4928.16
1.61,241645.84,63248.81,12649.761999999999
1.62,364006.0,74971.63,24990.543333333335
1.63,248384.25,92246.01000000001,30748.670000000002
1.64,86556.8,25878.57,12939.285
1.65,90088.6,25044.86,8348.286666666667
1.66,9834.0,2057.51,2057.51
1.67,72764.2,17061.02,5687.006666666667
1.69,68915.31,25231.060000000005,6307.765000000001
1.7,378946.5,88094.73000000001,12584.96142857143
1.71,58974.0,22093.12,22093.12
1.72,178378.2,54013.91,18004.63666666667
1.73,121854.79999999999,31823.519999999997,10607.839999999998
1.74,265302.0,55468.82,18489.606666666667
1.76,23577.6,8783.06,8783.06
1.77,29469.0,10040.439999999999,5020.219999999999
1.78,8152.26,2684.7,894.9
1.79,22097.25,7452.74,3726.37
1.8,129624.0,42623.47,8524.694
1.81,31813.56,6156.4400000000005,3078.2200000000003
1.83,273894.3,79905.72,19976.43
1.84,6380.4,1237.12,618.56
1.85,447564.0,84489.75,28163.25
1.86,3925.6,1153.8,1153.8
1.87,51518.25,14693.09,4897.696666666667
1.88,419463.0,156853.19,31370.638
1.89,98110.0,27101.06,13550.53
1.9,65530.8,21546.53,5386.6325
1.91,11770.8,3845.69,3845.69
1.92,235392.0,61034.21000000001,30517.105000000003
1.93,64726.2,11931.89,5965.945
1.94,14709.0,4435.7,4435.7
1.95,63732.5,12592.730000000001,6296.365000000001
1.96,441180.0,110706.35999999999,55353.17999999999
1.98,15683.2,3642.1,1821.05
1.99,219052.35,58157.05,14539.2625
2.0,58800.0,10566.11,10566.11
2.01,125329.20999999999,43224.22,6174.888571428572
2.02,58788.0,14189.09,14189.09
2.04,4408.2,1373.16,1373.16
2.05,7346.25,2490.4,2490.4
2.06,259541.0,53021.56,13255.39
2.07,217404.6,78834.62000000001,15766.924000000003
2.08,165191.03999999998,45500.850000000006,9100.170000000002
2.09,35835.06,10158.9,3386.2999999999997
2.1,358118.2,131552.18,32888.045
2.11,185012.1,39754.46,13251.486666666666
2.12,32496.16,11391.23,5695.615
2.13,12233.75,3987.76,3987.76
2.14,29358.0,9236.25,9236.25
2.15,69473.5,20036.14,6678.713333333333
2.18,67006.7,17747.69,4436.9225
2.19,375590.4,134160.29,26832.058
2.2,492423.0,115115.84,23023.167999999998
2.21,69235.32,22678.21,7559.403333333333
2.22,316807.2,95697.34,47848.67
2.23,234648.0,74848.19,37424.095
2.25,108013.75,30847.81,10282.603333333334
2.26,87966.0,23480.1,11740.05
2.27,136333.35,30534.480000000003,10178.160000000002
2.28,7329.0,1480.9,1480.9
2.29,433343.85,137950.1,34487.525
2.3,24034.2,7491.65,1498.33
2.31,61056.25,20522.29,5130.5725
2.32,9768.0,3233.92,1616.96
2.33,324655.07999999996,114364.88,19060.813333333335
2.34,424430.36,126672.09,21112.015
2.35,3906.0,781.76,390.88
2.37,205023.0,43801.9,21900.95
2.38,366075.0,64907.91,16226.9775
2.39,68327.0,16899.33,8449.665
2.4,82472.0,15412.66,7706.33
2.41,64897.35,16098.05,5366.016666666666
2.43,352715.55,66480.14,22160.046666666665
2.44,109267.2,27101.83,13550.915
2.46,163867.2,45348.38,22674.19
2.47,97530.0,17298.72,8649.36
2.48,19504.0,6598.97,6598.97
2.49,97510.0,24100.46,12050.23
2.5,178425.0,35218.26,11739.42
2.52,363113.0,113218.12999999999,28304.532499999998
2.53,33919.56,9752.230000000001,1950.4460000000004
2.54,265481.04,47783.31,15927.769999999999
2.55,61588.4,19329.23,9664.615
2.56,2923.2,1140.99,1140.99
2.57,80379.75,14450.820000000002,4816.9400000000005
2.58,199711.0,64645.899999999994,32322.949999999997
2.59,237777.81,92230.59,30743.53
2.61,148519.75,37536.469999999994,18768.234999999997
