Date,Actual_Sales,Forecast_Sales
2025-01-31,4819976.21,5603075.019612405
2025-02-28,4693039.5,5585985.353104019
2025-03-31,6250286.59,5568895.686595632
2025-04-30,5428676.21,5551806.020087246
2025-05-31,5204237.17,5534716.353578859
2025-06-30,4378129.33,5517626.687070472
2025-07-31,6356573.19,5500537.020562085
2025-08-31,5169714.09,5483447.3540536985
2025-09-30,5382926.24,5466357.687545313
2025-10-31,6298489.48,5449268.021036926
2025-11-30,5439750.05,5432178.354528539
2025-12-31,4796992.53,5415088.688020152
2026-01-31,4657658.64,5397999.021511765
2026-02-28,6095532.16,5380909.355003379
2026-03-31,5405186.62,5363819.688494992
2026-04-30,5272553.86,5346730.021986606
2026-05-31,7231206.39,5329640.355478219
2026-06-30,5002681.32,5312550.688969832
2026-07-31,6221179.74,5295461.022461445
2026-08-31,5482150.76,5278371.355953059
2026-09-30,4922482.09,5261281.689444672
2026-10-31,5669839.85,5244192.0229362855
2026-11-30,4398485.38,5227102.356427899
2026-12-31,5477962.07,5210012.689919512
2027-01-31,5307445.1,5192923.023411126
2027-02-28,4481511.99,5175833.356902739
2027-03-31,5196441.8,5158743.690394352
2027-04-30,6086396.29,5141654.023885965
2027-05-31,4433412.71,5124564.3573775785
2027-06-30,6091379.02,5107474.690869193
2027-07-31,4349538.47,5090385.024360806
2027-08-31,5074888.16,5073295.357852419
2027-09-30,5616497.9,5056205.691344032
2027-10-31,6062426.33,5039116.024835645
2027-11-30,4408007.66,5022026.358327258
2027-12-31,5591342.74,5004936.6918188725
2028-01-31,5100415.78,4987847.025310486
2028-02-29,5728777.81,4970757.358802099
2028-03-31,6458973.84,4953667.692293712
2028-04-30,4736103.73,4936578.025785325
2028-05-31,5130878.72,4919488.359276939
2028-06-30,704800.44,4902398.692768552
2028-07-31,,4885309.0262601655
2028-08-31,,4868219.359751779
2028-09-30,,4851129.693243392
2028-10-31,,4834040.026735006
2028-11-30,,4816950.360226619
2028-12-31,,4799860.693718232
